date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:30	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:30%20GMT	https://btech.id/static/template_v2/images/grid.png	btech.id/static/template_v2/images/grid.png	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:31	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:31%20GMT	https://btech.id/static/template_v2/images/pattern.png	btech.id/static/template_v2/images/pattern.png	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:32	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:32%20GMT	https://btech.id/static/template_v2/images/parallax/parallax-bg.jpg	btech.id/static/template_v2/images/parallax/parallax-bg.jpg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:33	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:33%20GMT	https://btech.id/static/template_v2/images/icons/iconalt.svg	btech.id/static/template_v2/images/icons/iconalt.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:34	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:34%20GMT	https://btech.id/static/template_v2/images/icons/play.png	btech.id/static/template_v2/images/icons/play.png	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:36	559740/559740	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22613a95c2-88a7c%22	https://btech.id/static/template_v2/css/fonts/font-icons.eot?5243c50b4743	btech.id/static/template_v2/css/fonts/font-iconsf6b3.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:38	559660/559660	---M--	200	added ('OK')	application/font-woff	etag:%22613a95c2-88a2c%22	https://btech.id/static/template_v2/css/fonts/font-icons.woff?5243c50b4743	btech.id/static/template_v2/css/fonts/font-iconsf6b3.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:38	559584/559584	---M--	200	added ('OK')	application/octet-stream	etag:%22613a95c2-889e0%22	https://btech.id/static/template_v2/css/fonts/font-icons.ttf?5243c50b4743	btech.id/static/template_v2/css/fonts/font-iconsf6b3.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:39	86416/86416	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22613a95c2-15190%22	https://btech.id/static/template_v2/css/fonts/lined-icons.eot?5243c50b4743	btech.id/static/template_v2/css/fonts/lined-iconsf6b3.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:39	1729404/1729404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22613a95c2-1a637c%22	https://btech.id/static/template_v2/css/fonts/font-icons.svg?5243c50b4743	btech.id/static/template_v2/css/fonts/font-iconsf6b3.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:40	86312/86312	---M--	200	added ('OK')	application/font-woff	etag:%22613a95c2-15128%22	https://btech.id/static/template_v2/css/fonts/lined-icons.woff?5243c50b4743	btech.id/static/template_v2/css/fonts/lined-iconsf6b3.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:41	86236/86236	---M--	200	added ('OK')	application/octet-stream	etag:%22613a95c2-150dc%22	https://btech.id/static/template_v2/css/fonts/lined-icons.ttf?5243c50b4743	btech.id/static/template_v2/css/fonts/lined-iconsf6b3.ttf	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:43	320186/320186	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22613a95c2-4e2ba%22	https://btech.id/static/template_v2/css/fonts/lined-icons.svg?5243c50b4743	btech.id/static/template_v2/css/fonts/lined-iconsf6b3.svg	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:44	35514/35514	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22613a95c2-8aba%22	https://btech.id/static/template_v2/css/fonts/Simple-Line-Icons.eot?5243c50b4743	btech.id/static/template_v2/css/fonts/Simple-Line-Iconsf6b3.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:45	35514/35514	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22613a95c2-8aba%22	https://btech.id/static/template_v2/css/fonts/Simple-Line-Icons.eot?&5243c50b4743	btech.id/static/template_v2/css/fonts/Simple-Line-Icons3ed3.eot	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
23:02:45	59324/59324	---M--	200	added ('OK')	application/font-woff	etag:%22613a95c2-e7bc%22	https://btech.id/static/template_v2/css/fonts/Simple-Line-Icons.woff?5243c50b4743	btech.id/static/template_v2/css/fonts/Simple-Line-Iconsf6b3.woff	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
